"name","gov_type","snuc_type","iucn_type","year","category","biome","area_km2","or","or_ci_min","or_ci_max","or_p","remaining_veg_treatment_initial","remaining_veg_treatment_2018","loss_veg_treatment","remaining_veg_control_initial","remaining_veg_control_2018","loss_veg_control"
"PARQUE ESTADUAL DAS TRILHAS","State","Parque","Category II",2017,"SP","Pantanal",172.8,0.939335726942064,0.915272069631667,0.964032048159036,2.2768441942933e-06,0.970431952675184,0.969766777008772,-0.000665175666411666,0.970529570554694,0.966029037162662,-0.00450053339203205
"Perigara","Indigenous people",NA,NA,1994,"IL","Pantanal",114.12,2.20045693710444,2.18455347946026,2.21647617125279,0,0.981166817976473,0.91641959895847,-0.0647472190180035,0.979660885003087,0.98050369750062,0.000842812497533041
"Baia do Guató","Indigenous people",NA,NA,2009,"IL","Pantanal",201.96,0.981488735011291,0.974896259770311,0.988125790103069,5.51255228131708e-08,0.957940128557185,0.892243838830853,-0.0656962897263321,0.958117516893967,0.875473872700344,-0.0826436441936222
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO JARDIM","Federal","Reserva Particular do Patrimônio Natural","Category IV",2007,"SU","Pampa",50.76,0.64034078500824,0.635767736628473,0.644946727116769,0,0.414048232659962,0.409127404157019,-0.00492082850294223,0.414368760960295,0.28210382407584,-0.132264936884456
"FLORESTA NACIONAL DE PAU-ROSA","Federal","Floresta","Category VI",2001,"SU","Pampa",264.96,1.12440407685768,1.1194691940879,1.12936071374816,0,0.582566042868421,0.537212848862633,-0.0453531940057874,0.577319697031751,0.516656478684396,-0.0606632183473557
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DE GUAPIAÇU 2","State","Reserva Particular do Patrimônio Natural","Category IV",2012,"SU","Pampa",391.68,0.262849746377271,0.259286504641502,0.266461955920621,0,0.983626145831313,0.979529028005713,-0.00409711782560085,0.951375807255856,0.884754157677031,-0.0666216495788255
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","Federal","Área de Proteção Ambiental","Category V",1985,"SU","Pampa",30.6,1.03830675525662,1.03182555994942,1.04482866082942,0,0.729858966084088,0.776067166819292,0.0462082007352044,0.721489441219498,0.782280554315623,0.0607911130961251
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CATINGUEIRO","Federal","Reserva Particular do Patrimônio Natural","Category IV",2013,"SU","Pampa",41.04,0.903219886786096,0.891936557874528,0.914645954001419,0,0.770370936184599,0.759239839095818,-0.0111310970887804,0.773145090200399,0.73659526609015,-0.0365498241102487
"FLORESTA NACIONAL DA MATA GRANDE","Federal","Floresta","Category VI",2003,"SU","Pampa",69.12,0.377131548087602,0.371511660186663,0.38283644850202,0,0.866112721817834,0.968337501798357,0.102224779980523,0.840903967618942,0.862798635405724,0.0218946677867813
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MÃE DA LUA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2009,"SU","Pampa",162.36,0.851178166473317,0.843979007611077,0.858438734313572,0,0.687577142849238,0.695001749743293,0.00742460689405455,0.684485973501374,0.589147466085307,-0.0953385074160668
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DA POUSADA GRACIOSA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2011,"SU","Pampa",59.04,0.87939876467629,0.86535626465505,0.893669138250771,0,0.947450028241046,0.932344370184501,-0.0151056580565458,0.938929963514117,0.918806428649674,-0.0201235348644432
"ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA","Municipal","Área de Proteção Ambiental","Category V",1989,"SU","Pampa",10.08,0.681553008427689,0.672097524145576,0.691141518319623,0,0.838660876665797,0.91004635819367,0.0713854815278734,0.810834016118731,0.859248923403876,0.0484149072851453
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA DULCE DE CIMA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2007,"SU","Pampa",18.36,0.686061427035031,0.678109833284114,0.6941062620871,0,0.585454710941835,0.466197190331478,-0.119257520610357,0.558871764068802,0.404273867990602,-0.1545978960782
"RESERVA EXTRATIVISTA MARINHA ARRAIAL DO CABO","Federal","Reserva Extrativista","Category VI",1997,"SU","Pampa",121.32,0.564481718141802,0.561078754201638,0.567905321187423,0,0.785740814592157,0.823768291994929,0.0380274774027722,0.780041570349925,0.695975068999681,-0.0840665013502443
NA,"State",NA,NA,2013,"SU","Pampa",73.8,0.530305568927459,0.521929316903259,0.538816248345755,0,0.94167787825189,0.926445305565508,-0.0152325726863815,0.933549470727037,0.794371289741702,-0.139178180985334
"Pacheca","Indigenous people",NA,NA,2001,"IL","Pampa",21.6,0.265385947888564,0.258552686514278,0.272399804798864,0,0.970838727553685,0.974760224421819,0.00392149686813359,0.969479971130689,0.901003712912401,-0.0684762582182884
"Ventarra","Indigenous people",NA,NA,1998,"IL","Pampa",10.08,0.56534567804931,0.553665430367925,0.577272334804506,0,0.102299697455709,0.114238473500505,0.0119387760447959,0.0762311113239438,0.0601753773581651,-0.0160557339657788
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA","Federal","Área de Relevante Interesse Ecológico","Category IV",1985,"SU","Pampa",3686.04,0.532985261792318,0.5324308314351,0.533540269488418,0,0.962427634623722,0.951804200923512,-0.0106234337002109,0.95669621433626,0.889901445681842,-0.066794768654417
"ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ","Municipal","Área de Proteção Ambiental","Category V",2004,"SU","Atlantic Forest",58.32,1.02661042160704,1.02078681658629,1.03246725038704,0,0.475987196799345,0.507520527199463,0.031533330400118,0.476764796112009,0.471349670755803,-0.00541512535620525
"PARQUE ESTADUAL DE ITAPETINGA","State","Parque","Category II",2010,"SP","Atlantic Forest",113.04,0.872701257115491,0.867370234260704,0.878065045453292,0,0.775673499049109,0.774199266751908,-0.00147423229720078,0.762687112542854,0.736626745931282,-0.0260603666115719
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO","Federal","Estação Ecológica","Category Ia",2002,"SP","Atlantic Forest",72.72,0.73289354058559,0.728493122767426,0.737320538856431,0,0.820061881708368,0.829480198829776,0.0094183171214075,0.776335378959775,0.775149700250477,-0.00118567870929842
"RESERVA EXTRATIVISTA TAQUARI","State","Reserva Extrativista","Category VI",2008,"SU","Atlantic Forest",17.28,0.638980167673022,0.610703946607828,0.668565606866195,0,0.985256275960377,0.980110699222201,-0.00514557673817584,0.969613574800037,0.965070250488463,-0.00454332431157423
"MONUMENTO NATURAL MUNICIPAL DA FLORESTA","Municipal","Monumento Natural","Category III",2017,"SP","Atlantic Forest",10.8,1.01490480646352,0.977991672468517,1.05321118285484,0.43382102803233,0.373998281235496,0.374579036608338,0.000580755372842134,0.378471972281113,0.377931903752809,-0.000540068528304516
"APA REPRESA BAIRRO DA USINA","State","Área de Proteção Ambiental","Category V",1986,"SU","Atlantic Forest",11.16,0.941786544995114,0.931216072711287,0.952477005418728,0,0.18411146377724,0.22477009264572,0.0406586288684799,0.188766540073219,0.212574501942483,0.0238079618692638
"MONUMENTO NATURAL ESTADUAL SERRA DAS TORRES","State","Monumento Natural","Category III",2010,"SP","Atlantic Forest",112.68,0.949386917080611,0.943977232790094,0.954827602843521,0,0.690033967001215,0.697817575832912,0.00778360883169726,0.677265190236723,0.680242540082707,0.00297734984598408
"ÁREA DE PROTEÇÃO AMBIENTAL DO BRILHANTE","Municipal","Área de Proteção Ambiental","Category V",1993,"SU","Atlantic Forest",22.68,1.21342534620989,1.20084530443895,1.22613717635554,0,0.936944448758685,0.784126986586858,-0.152817462171827,0.934087301057482,0.835230561002852,-0.0988567400546301
"MONUMENTO NATURAL ESTADUAL PICO DO IBITURUNA","State","Monumento Natural","Category III",1989,"SP","Atlantic Forest",11.52,0.734975997552546,0.728037190249617,0.741980937530332,0,0.305492263141787,0.418826349225128,0.113334086083341,0.311342136672465,0.309472487730091,-0.00186964894237462
"ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA","State","Estação Ecológica","Category Ia",1997,"SP","Atlantic Forest",69.48,0.4636728647011,0.459934599396842,0.467441513950168,0,0.952343714515162,0.930861976403029,-0.0214817381121335,0.930293876117993,0.83968751101605,-0.0906063651019428
"PARQUE ESTADUAL DO MENDANHA","State","Parque","Category II",2013,"SP","Atlantic Forest",47.88,0.228386041444115,0.225445070270911,0.2313653781111,0,0.883684210703337,0.88381578879697,0.000131578093632734,0.631487003296502,0.628008807540164,-0.00347819575633768
"ÁREA DE PROTEÇÃO AMBIENTAL DO IGUAÇÚ","Municipal","Área de Proteção Ambiental","Category V",1991,"SU","Atlantic Forest",48.96,0.933235139826223,0.928622017539348,0.937871178753919,0,0.324042788694736,0.299601206442971,-0.0244415822517647,0.321894151384614,0.279039888622184,-0.0428542627624291
"REFÚGIO DE VIDA SILVESTRE ESTADUAL DO MÉDIO PARAÍBA","State","Refúgio de Vida Silvestre","Category III",2016,"SP","Atlantic Forest",118.08,0.974275401217062,0.963888234882484,0.984774502961325,1.8838837976265e-06,0.224451710575788,0.224371192551633,-8.05180241558456e-05,0.225166462363232,0.228372553012777,0.00320609064954447
"RESERVA BIOLÓGICA UNIÃO","Federal","Reserva Biológica","Category Ia",1998,"SP","Atlantic Forest",82.44,0.799769541836547,0.795643068767194,0.803917416185771,0,0.819502593290598,0.843815361958924,0.0243127686683268,0.797696147227912,0.791227646289987,-0.00646850093792484
"PARQUE NACIONAL DA SERRA DE ITABAIANA","Federal","Parque","Category II",2005,"SP","Atlantic Forest",83.88,0.892665996267812,0.888262644181234,0.897091176931472,0,0.388544197110339,0.436657424832299,0.0481132277219593,0.386252232627392,0.392608721668596,0.00635648904120462
"APA PARQUE E FAZENDA DO CARMO","State","Área de Proteção Ambiental","Category V",1989,"SU","Atlantic Forest",10.44,0.0990503532102147,0.0977298237459752,0.100388725723782,0,0.444715012153932,0.525463257241866,0.080748245087934,0.0867961241767324,0.091400364670774,0.00460424049404161
"ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE","State","Área de Proteção Ambiental","Category V",2010,"SU","Atlantic Forest",321.48,0.759488703965287,0.757115556680301,0.76186928978193,0,0.573012597328062,0.587171686029485,0.0141590887014228,0.523234706042462,0.499006592913156,-0.0242281131293053
"PARQUE ESTADUAL DA CAMPINA DO ENCANTADO","State","Parque","Category II",1994,"SP","Atlantic Forest",35.64,0.266824847426545,0.262843221043038,0.270866788657036,0,0.978737374146779,0.978005049806653,-0.000732324340126822,0.955924135867995,0.892944857628659,-0.0629792782393368
"FLORESTA NACIONAL DE RIO PRETO","Federal","Floresta","Category VI",1990,"SU","Atlantic Forest",30.6,0.638227724432188,0.634247786958216,0.642232636218444,0,0.273852940637837,0.3952647064429,0.121411765805062,0.271309661498184,0.230658170504167,-0.0406514909940169
"ÁREA DE PROTEÇÃO AMBIENTAL DE ENGENHEIRO PASSOS APAEP","Municipal","Área de Proteção Ambiental","Category V",1997,"SU","Atlantic Forest",29.52,0.85011735840857,0.843851447911391,0.856429795619018,0,0.745416926748959,0.759488172645186,0.0140712458962275,0.643610042841806,0.653050702916067,0.00944066007426125
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEU CANTINHO","State","Reserva Particular do Patrimônio Natural","Category IV",2013,"SU","Atlantic Forest",10.8,0.211236927670613,0.205223945719065,0.217426087659392,0,0.698192464394702,0.692995326800479,-0.00519713759422302,0.341816867391268,0.319668615133398,-0.0221482522578703
"REFÚGIO DE VIDA SILVESTRE MATA DO JUNCO","State","Refúgio de Vida Silvestre","Category III",2007,"SP","Atlantic Forest",189.36,0.0506912033581354,0.0501024784582195,0.0512868460197757,0,0.985337622200742,0.982682040567492,-0.00265558163324997,0.811600503442334,0.786000219449474,-0.0256002839928602
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO SERENO","State","Reserva Particular do Patrimônio Natural","Category IV",2015,"SU","Atlantic Forest",10.08,0.880372184386797,0.856075801887137,0.905358125219106,0,0.691785713923829,0.687678574983563,-0.00410713894026615,0.687589285096952,0.650624997913837,-0.0369642871831145
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CRISTALINO III","State","Reserva Particular do Patrimônio Natural","Category IV",2007,"SU","Atlantic Forest",61.92,0.81690080474652,0.811555488232121,0.822281328229578,0,0.687587210285846,0.713081395575712,0.0254941852898661,0.68462714886152,0.643684660845306,-0.0409424880162141
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO PROFESSOR BAPTISTA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2009,"SU","Atlantic Forest",423.72,0.893688163812985,0.891372466206382,0.896009877373196,0,0.454970051902414,0.443669554933719,-0.0113004969686947,0.429047598607582,0.408720769495335,-0.0203268291122464
"PARQUE NATURAL MUNICIPAL DO JARDIM DO CARMO","Municipal","Parque","Category II",2001,"SP","Atlantic Forest",455.4,0.0246608874152713,0.0244110997494503,0.024913231044512,0,0.996297342079901,0.995245226428443,-0.00105211565145857,0.871761287036149,0.839322599050085,-0.0324386879860649
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KAHENA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2011,"SU","Atlantic Forest",60.12,0.962178598841422,0.953796218172117,0.970634647558835,0,0.251914571173221,0.276101900440289,0.024187329267068,0.246771016489982,0.261730372840204,0.0149593563502219
"PARQUE ESTADUAL ENCONTRO DAS ÁGUAS","State","Parque","Category II",2004,"SP","Atlantic Forest",39.6,1.19864924820374,1.16755459081148,1.23057202766066,0,0.0540751420159006,0.0693181812424551,0.0152430392265546,0.048210299221065,0.0862998138464084,0.0380895146253434
"RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE","Federal","Reserva Extrativista","Category VI",2005,"SU","Atlantic Forest",10.08,0.602582325367496,0.586805974615703,0.61878282524832,0,0.941109440156392,0.937525996140071,-0.00358344401632027,0.917380656514849,0.870859617633479,-0.04652103888137
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL IV","Federal","Reserva Particular do Patrimônio Natural","Category IV",2008,"SU","Atlantic Forest",88.2,0.596977832638935,0.592882832981072,0.601101116168863,0,0.950338659602769,0.945614088311487,-0.00472457129128123,0.860194128630113,0.824795919535111,-0.0353982090950011
"APA DO BANHADO","State","Área de Proteção Ambiental","Category V",2002,"SU","Atlantic Forest",17.28,0.289725456108922,0.284391108667146,0.295159860344889,0,0.933062505722046,0.94624999910593,0.0131874933838845,0.820667310059071,0.810729061067104,-0.00993824899196627
"FLORESTA ESTADUAL CANUTAMA","State","Floresta","Category VI",2009,"SU","Atlantic Forest",33.48,0.571431480133781,0.562224191794114,0.580789552021732,0,0.103037684985627,0.12642405766453,0.0233863726789032,0.0743937807768503,0.0700861024244698,-0.00430767835238047
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAQUARAL","State","Reserva Particular do Patrimônio Natural","Category IV",2008,"SU","Atlantic Forest",97.56,0.901924571662921,0.896402048813028,0.907481117481266,0,0.23332139700256,0.245296168066321,0.0119747710637611,0.221350672527653,0.218118381428763,-0.00323229109889028
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL VEREDAS DO ACARI","State","Reserva de Desenvolvimento Sustentável","Category VI",2003,"SU","Atlantic Forest",74.16,0.328257497871431,0.323805710388031,0.332770489994409,0,0.970658065369411,0.971288406515714,0.000630341146303226,0.941693056814419,0.903603377734652,-0.0380896790797666
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO RÃ-BUGIO I","Federal","Reserva Particular do Patrimônio Natural","Category IV",2008,"SU","Atlantic Forest",42.48,0.0442216941982225,0.0435807047689243,0.0448721113651088,0,0.871605638166269,0.872753361364206,0.00114772319793699,0.226483384535337,0.240558113406102,0.0140747288707644
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOL II","State","Reserva Particular do Patrimônio Natural","Category IV",2011,"SU","Atlantic Forest",15.84,0.406171079626674,0.393648568743108,0.41909194907491,0,0.942286364734173,0.945743761279366,0.00345739654519339,0.898975802416151,0.882531409236518,-0.0164443931796334
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL COMPLEXO SERRA DA FAROFA","State","Reserva Particular do Patrimônio Natural","Category IV",2014,"SU","Atlantic Forest",119.88,0.883111590528156,0.876796010305335,0.889472662009014,0,0.410347278959135,0.415818521501086,0.00547124254195097,0.404778161184253,0.398373139376383,-0.00640502180787
"ARIE DA GRANJA DO IPÊ","State","Área de Relevante Interesse Ecológico","Category IV",1998,"SU","Atlantic Forest",60.84,0.566764391313063,0.56224971519286,0.57131531876416,0,0.917514795206002,0.923387576666104,0.00587278146010184,0.888331219553947,0.835531638494346,-0.0527995810596019
"RDS DOS PINHEIRINHOS","State","Reserva de Desenvolvimento Sustentável","Category VI",2008,"SU","Atlantic Forest",453.24,0.89513143404901,0.892840181166397,0.897428566863869,0,0.337511743468434,0.340680987201705,0.00316924373327065,0.316916284622585,0.29930347514341,-0.0176128094791745
"ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA LAGOA JACUNÉM","Municipal","Área de Proteção Ambiental","Category V",1998,"SU","Atlantic Forest",17.28,1.13994011215103,1.12976362204498,1.15020826829135,0,0.660208330489695,0.587031248646478,-0.0731770818432173,0.637681131561597,0.608705076389015,-0.0289760551725825
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL 07 DE OUTUBRO","State","Reserva Particular do Patrimônio Natural","Category IV",2012,"SU","Atlantic Forest",13.32,0.643640174597403,0.628441189085131,0.65920675084786,0,0.295471658531044,0.277467884123325,-0.0180037744077189,0.201032036349976,0.206220408169819,0.00518837181984314
"ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO MACHADO","State","Área de Proteção Ambiental","Category V",1999,"SU","Atlantic Forest",102.6,1.30690323180619,1.28754368651877,1.3265538677942,0,0.201441132197423,0.122180580134903,-0.0792605520625199,0.182344169222883,0.188506690519197,0.00616252129631381
"PARQUE NATURAL MUNICIPAL DE CONCEIÇÃO DA BARRA","Municipal","Parque","Category II",2015,"SP","Atlantic Forest",1269,0.984860456049221,0.981176419588945,0.988558325011348,1.55431223447522e-15,0.111081661461657,0.111515145589089,0.000433484127431591,0.109352819114471,0.110143702269072,0.000790883154600908
"PARQUE ESTADUAL DO RIO VERMELHO","State","Parque","Category II",2007,"SP","Atlantic Forest",18.36,1.57208832733131,1.50719863229061,1.63977173013703,0,0.0145008002188714,0.0159224916623869,0.00142169144351547,0.0218121824402581,0.0287081010310965,0.00689591859083842
"PARQUE ESTADUAL CHARAPUCU","State","Parque","Category II",2010,"SP","Atlantic Forest",17.28,1.18932728381192,1.15383387734481,1.2259125128779,0,0.339200934681755,0.281824592859126,-0.0573763418226288,0.332321926163366,0.28364385632225,-0.0486780698411167
"ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DAS SERRAS DE MARICÁ","Municipal","Área de Proteção Ambiental","Category V",2011,"SU","Atlantic Forest",59.4,0.856324502179135,0.845716086254027,0.867065986979566,0,0.805204896256328,0.810350690429148,0.00514579417282024,0.797274254131735,0.769614253715988,-0.0276600004157477
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SUSPIRO","Federal","Reserva Particular do Patrimônio Natural","Category IV",1999,"SU","Atlantic Forest",26.28,0.883655165043791,0.876477248082917,0.890891865609156,0,0.516465516536143,0.535910447352919,0.0194449308167757,0.499848109107978,0.505134703768096,0.00528659466011772
"RDS QUILOMBOS DE BARRA DO TURVO","State","Reserva de Desenvolvimento Sustentável","Category VI",2008,"SU","Atlantic Forest",16.56,0.193283617487466,0.186392575080749,0.200429425758277,0,0.984557609225428,0.975253028925075,-0.0093045803003533,0.907303713088812,0.907589521518973,0.000285808430161572
"PARQUE ESTADUAL CUNHAMBEBE","State","Parque","Category II",2008,"SP","Atlantic Forest",64.8,0.791257420895923,0.785755442930945,0.796797924539342,0,0.739083396788273,0.753102074729072,0.0140186779407991,0.708837469654261,0.686894631478935,-0.0219428381753257
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA CAMBRAIA","Municipal","Área de Proteção Ambiental","Category V",2015,"SU","Atlantic Forest",414,0.465558200448089,0.461778734034209,0.469368600218837,0,0.936897469909723,0.935648288777574,-0.00124918113214867,0.873755363987408,0.86919667605863,-0.00455868792877812
"PARQUE ESTADUAL SERRA RICARDO FRANCO","State","Parque","Category II",1997,"SP","Atlantic Forest",25.56,1.18150392188093,1.17251962905859,1.19055705578321,0,0.303239435423166,0.278453880448786,-0.0247855549743792,0.296216985171425,0.327427242449682,0.0312102572782568
"RESERVA BIOLÓGICA DE PINHEIRO GROSSO","Municipal","Reserva Biológica","Category Ia",1987,"SP","Atlantic Forest",57.6,0.341325919168155,0.339714047227241,0.342945439103538,0,0.806920540296743,0.851892925582586,0.0449723852858428,0.646381978588479,0.61546367161697,-0.0309183069715097
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MÃE DA MATA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2004,"SU","Atlantic Forest",142.56,1.02115397381049,1.01744869554553,1.02487274571604,0,0.628648413371088,0.507775861474761,-0.120872551896327,0.609439992193001,0.529178458961512,-0.0802615332314885
"REFÚGIO DE VIDA SILVESTRE MUNICIPAL DAS SERRAS DE MARICÁ","Municipal","Refúgio de Vida Silvestre","Category III",2011,"SP","Atlantic Forest",825.12,0.4148514848456,0.41346542713946,0.416242189024791,0,0.919309513261225,0.927267095007418,0.00795758174619365,0.855157634883755,0.814578107783707,-0.0405795271000475
"PARQUE NACIONAL DO CATIMBAU","Federal","Parque","Category II",2002,"SP","Atlantic Forest",12.6,0.394862584064557,0.387931072813677,0.401917946823058,0,0.201499999341156,0.207142856584064,0.00564285724290778,0.0984348792715796,0.0919771555545075,-0.00645772371707218
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO MACUCO","State","Reserva Particular do Patrimônio Natural","Category IV",2010,"SU","Atlantic Forest",10.08,0.156910724385324,0.145305592507281,0.169442724139426,0,0.992857145411628,0.993482144815581,0.000624999403953552,0.958430841565132,0.949054270982742,-0.00937657058238983
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRUTINHA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2009,"SU","Atlantic Forest",55.08,0.859430346596489,0.852477875030971,0.866439519763638,0,0.716830926119453,0.749208316310412,0.032377390190959,0.704719497567949,0.676915022345431,-0.0278044752225182
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOZI","State","Reserva Particular do Patrimônio Natural","Category IV",2010,"SU","Atlantic Forest",15.12,1.11047857825244,1.09462726009235,1.12655943965211,0,0.503855648317507,0.452027164399624,-0.0518284839178834,0.509584788410437,0.479073191726846,-0.0305115966835902
"PARQUE NACIONAL DA SERRA GERAL","Federal","Parque","Category II",1992,"SP","Atlantic Forest",14.04,0.0918092936595766,0.0892911336414718,0.0943984700218377,0,0.959359717674744,0.987424809199113,0.0280650915243686,0.933095398621681,0.774615484552506,-0.158479914069176
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACUTINGA","State","Reserva Particular do Patrimônio Natural","Category IV",2014,"SU","Atlantic Forest",197.64,0.571017266227391,0.564911157295772,0.577189375920021,0,0.948025975206728,0.9478884196428,-0.000137555563927472,0.919044275209986,0.906912979776742,-0.0121312954332442
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUIA BRANCA","State","Reserva Particular do Patrimônio Natural","Category IV",2017,"SU","Atlantic Forest",189,1.19219889439261,1.17940445229862,1.20513213344313,0,0.23742463067657,0.23649130355474,-0.000933327121830169,0.246705342695712,0.248384492903662,0.00167915020794973
"RESERVA BIOLÓGICA DO TAPIRAPÉ","Federal","Reserva Biológica","Category Ia",1989,"SP","Atlantic Forest",10.08,0.763337180095534,0.753817093006804,0.772977498018796,0,0.812685630151204,0.844717750591891,0.0320321204406875,0.8009903047766,0.797112967818975,-0.00387733695762493
"REFÚGIO DE VIDA SILVESTRE MATA DO CAMUCIM","State","Refúgio de Vida Silvestre","Category III",1987,"SP","Atlantic Forest",34.2,0.621345667514372,0.617862806745017,0.624848160990221,0,0.390572405493769,0.370973684736773,-0.0195987207569966,0.353682387521904,0.275728840996615,-0.0779535465252896
